This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.



The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."				
				
Gene	Specificity	Abs Score Sum	Score Sum	Score Ave
Slc7a10	8 out of 11	493.5550149	-493.5550149	-44.86863772
Sec14l4	10 out of 11	491.833069	-491.833069	-44.71209718
Cys1	10 out of 11	487.6536278	-487.6536278	-44.33214798
Cyp2d22	10 out of 11	486.3949121	-486.3949121	-44.21771928
Myh7	10 out of 11	486.2332308	-486.2332308	-44.20302098
Rab6b	10 out of 11	485.9564952	-485.9564952	-44.1778632
Tmem100	10 out of 11	485.540966	-485.540966	-44.14008782
Aoc3	10 out of 11	484.0484251	-484.0484251	-44.00440228
Cyp2f2	10 out of 11	483.3471251	-483.3471251	-43.94064774
Hepacam2	10 out of 11	482.1499653	-482.1499653	-43.83181503
Cyp2a4	8 out of 11	481.808586	-481.808586	-43.80078054
5330417C22Rik	10 out of 11	480.7381341	-480.7381341	-43.70346673
Glt25d2	10 out of 11	478.5957643	-478.5957643	-43.50870585
Tril	9 out of 11	476.483168	-476.483168	-43.31665163
Ephx1	10 out of 11	475.91243	-475.91243	-43.26476636
Cd209b	9 out of 11	475.7748963	-475.7748963	-43.2522633
Hlf	10 out of 11	475.6723207	-475.6723207	-43.24293825
Tppp	11 out of 11	474.5207886	-474.5207886	-43.13825351
Aldh6a1	11 out of 11	471.1806042	-471.1806042	-42.83460039
D630004D15Rik	10 out of 11	470.6901609	-470.6901609	-42.79001463
Mcf2l	10 out of 11	470.249932	-470.249932	-42.74999382
Plin4	9 out of 11	470.014296	-470.014296	-42.72857236
Epas1	10 out of 11	469.757988	-469.757988	-42.70527164
Sln	9 out of 11	467.5294532	-467.5294532	-42.50267756
1500035N22Rik	11 out of 11	466.8072445	-466.8072445	-42.43702223
Chst8	10 out of 11	465.9091091	-465.9091091	-42.35537355
Abi3bp	10 out of 11	465.192099	-465.192099	-42.29019082
Hamp	8 out of 11	464.8614398	-464.8614398	-42.26013089
Itga8	10 out of 11	464.1411624	-464.1411624	-42.19465112
Smad6	10 out of 11	463.1982822	-463.1982822	-42.10893475
Car3	8 out of 11	461.8209211	-461.8209211	-41.9837201
Akap5	11 out of 11	460.4752379	-460.4752379	-41.86138526
Ptpru	11 out of 11	460.4545649	-460.4545649	-41.8595059
Hey1	10 out of 11	459.164078	-459.164078	-41.74218891
Bmpr2	11 out of 11	458.9959945	-458.9959945	-41.72690859
Fgfbp1	10 out of 11	458.6280947	-458.6280947	-41.69346315
Pde8b	10 out of 11	458.4164227	-458.4164227	-41.67422025
Bpifb5	10 out of 11	457.2414237	-457.2414237	-41.56740215
Krt79	8 out of 11	456.7478153	-456.7478153	-41.52252866
AK028495	10 out of 11	456.0210164	-456.0210164	-41.45645604
Ces2b	9 out of 11	456.0132006	-456.0132006	-41.45574551
Cnn1	11 out of 11	455.2685722	-455.2685722	-41.38805201
Tmeff2	10 out of 11	455.0325194	-455.0325194	-41.36659267
Plekhb1	10 out of 11	454.9326218	-454.9326218	-41.35751107
Ear11	10 out of 11	454.9253243	-454.9253243	-41.35684767
Ccdc129	10 out of 11	454.3564758	-454.3564758	-41.30513416
Ptgfr	10 out of 11	453.8571361	-453.8571361	-41.25973965
Svip	11 out of 11	453.8337954	-453.8337954	-41.25761776
Tbc1d30	10 out of 11	453.5715983	-453.5715983	-41.23378166
Grem2	10 out of 11	453.2103446	-453.2103446	-41.20094042
Mm.120885	11 out of 11	452.9252586	-452.9252586	-41.17502351
G0s2	10 out of 11	450.6967884	-450.6967884	-40.97243531
Slc38a4	10 out of 11	446.878355	-446.878355	-40.625305
Lepr	10 out of 11	445.2147051	-445.2147051	-40.4740641
Cyp4f15	10 out of 11	443.6698538	-443.6698538	-40.33362308
Vpreb3	10 out of 11	440.7359438	-440.7359438	-40.06690398
Olfr1362	9 out of 11	440.2273519	-440.2273519	-40.02066835
Fbxo30	11 out of 11	440.0798385	-440.0798385	-40.00725805
Ppp1r9a	10 out of 11	438.9469495	-438.9469495	-39.90426813
9530083O12Rik	10 out of 11	436.1960819	-436.1960819	-39.65418926
Hpgd	10 out of 11	435.5237279	-435.5237279	-39.59306617
Ces1f	8 out of 11	434.802229	-434.802229	-39.52747537
Efnb2	10 out of 11	434.5165971	-434.5165971	-39.50150882
Cpne5	10 out of 11	434.4718734	-434.4718734	-39.49744304
Ear1	9 out of 11	434.3212404	-434.3212404	-39.48374913
Thbd	11 out of 11	434.1571856	-434.1571856	-39.46883506
Gm1337	9 out of 11	432.9401814	-432.9401814	-39.35819831
1110012J17Rik	10 out of 11	432.5937011	-432.5937011	-39.3267001
Dnahc6	10 out of 11	432.3171775	-432.3171775	-39.30156159
Tns1	11 out of 11	428.0892968	-428.0892968	-38.9172088
Ccl17	7 out of 11	427.281054	-427.281054	-38.84373218
Abca8a	10 out of 11	425.9952794	-425.9952794	-38.72684358
Grb14	11 out of 11	425.6681787	-425.6681787	-38.69710715
Tspan7	10 out of 11	425.6395708	-425.6395708	-38.69450643
Ptprb	10 out of 11	425.1632851	-425.1632851	-38.65120774
Gpr116	10 out of 11	424.1609514	-424.1609514	-38.56008649
Dgat2	10 out of 11	422.8614642	-422.8614642	-38.44195129
Slc4a5	10 out of 11	422.8008998	-422.8008998	-38.43644543
Fam13a	10 out of 11	422.2861552	-422.2861552	-38.38965047
Gsta1	9 out of 11	421.6252206	-421.6252206	-38.32956551
Vtn	10 out of 11	421.5874793	-421.5874793	-38.32613449
Hs3st1	9 out of 11	421.4191015	-421.4191015	-38.31082741
Lrrn3	10 out of 11	420.1350226	-420.1350226	-38.19409296
Plvap	10 out of 11	420.0180337	-420.0180337	-38.18345761
Mamdc2	10 out of 11	419.1118695	-419.1118695	-38.10107904
Fn3k	10 out of 11	419.0190752	-419.0190752	-38.0926432
Aldh2	10 out of 11	416.2174631	-416.2174631	-37.83795119
Dnahc5	11 out of 11	416.1234644	-416.1234644	-37.82940586
Rasgef1a	10 out of 11	415.734779	-415.734779	-37.79407082
N28178	10 out of 11	414.8351929	-414.8351929	-37.71229027
2010001K21Rik	10 out of 11	414.3168412	-414.3168412	-37.66516739
Tinag	10 out of 11	413.6046819	-413.6046819	-37.60042563
A_52_P764117	11 out of 11	412.8374017	-412.8374017	-37.53067288
Tef	9 out of 11	412.8281316	-412.8281316	-37.52983014
Cbx7	10 out of 11	412.1838707	-412.1838707	-37.47126097
Cd207	9 out of 11	412.0589961	-412.0589961	-37.45990873
Aldh1a1	10 out of 11	412.007112	-412.007112	-37.455192
Ace2	10 out of 11	411.6183511	-411.6183511	-37.4198501
Gpr155	10 out of 11	411.4006391	-411.4006391	-37.4000581
Lphn3	11 out of 11	410.7572733	-410.7572733	-37.3415703
Kcne2	9 out of 11	410.7306359	-410.7306359	-37.33914872
Lpar3	10 out of 11	409.8760474	-409.8760474	-37.26145885
Slc6a4	10 out of 11	409.131261	-409.131261	-37.193751
Gpt	10 out of 11	409.1132968	-409.1132968	-37.19211789
Gsta2	9 out of 11	407.8894483	-407.8894483	-37.08085894
Cyp2b13	10 out of 11	406.7288159	-406.7288159	-36.9753469
Kank4	10 out of 11	405.6580522	-405.6580522	-36.87800475
Neurog1	8 out of 11	405.6407277	-405.6407277	-36.87642979
Sftpb	10 out of 11	404.9394494	-404.9394494	-36.81267722
Tmcc3	11 out of 11	404.5658151	-404.5658151	-36.77871046
Prickle2	11 out of 11	404.2691097	-404.2691097	-36.75173724
Mettl7a2	9 out of 11	404.254606	-404.254606	-36.75041873
Tek	10 out of 11	403.7747165	-403.7747165	-36.70679241
Slc16a11	9 out of 11	402.4064348	-402.4064348	-36.58240317
Gprasp1	10 out of 11	400.8821769	-400.8821769	-36.44383427
Car8	10 out of 11	400.8535635	-400.8535635	-36.44123305
Dock9	10 out of 11	400.7986412	-400.7986412	-36.43624011
Omd	10 out of 11	400.2666791	-400.2666791	-36.38787992
S100g	9 out of 11	399.0482173	-399.0482173	-36.27711066
Ttn	11 out of 11	397.8358236	-397.8358236	-36.16689305
Ssr1	10 out of 11	419.7369471	-396.3893173	-36.03539248
Pde4d	10 out of 11	395.0890906	-395.0890906	-35.91719005
6720401G13Rik	10 out of 11	394.5684487	-394.5684487	-35.86985898
Cyp2b9	10 out of 11	393.5930928	-393.5930928	-35.78119026
Tmem204	10 out of 11	393.0659942	-393.0659942	-35.7332722
A_51_P305138	10 out of 11	392.9280481	-392.9280481	-35.72073165
Agtr1a	11 out of 11	392.5847803	-392.5847803	-35.68952548
Hmgcs2	10 out of 11	392.2037145	-392.2037145	-35.65488313
Zrsr1	10 out of 11	392.1774085	-392.1774085	-35.65249168
Pllp	11 out of 11	389.9524182	-389.9524182	-35.45021984
Acvrl1	10 out of 11	389.5988865	-389.5988865	-35.41808059
Prdm8	9 out of 11	387.0172133	-387.0172133	-35.18338302
Ear10	9 out of 11	386.7783901	-386.7783901	-35.16167182
Slc16a9	11 out of 11	386.3456219	-386.3456219	-35.12232927
B930063P07Rik	10 out of 11	386.2023477	-386.2023477	-35.10930434
Angpt2	11 out of 11	386.0341601	-386.0341601	-35.09401455
Cyp2b10	10 out of 11	385.7534251	-385.7534251	-35.06849319
Rnase4	10 out of 11	385.2241162	-385.2241162	-35.0203742
Ppl	10 out of 11	384.8065075	-384.8065075	-34.98240977
Ppp1r14c	10 out of 11	384.612233	-384.612233	-34.96474845
Kcna1	10 out of 11	384.4053844	-384.4053844	-34.94594404
Akr1b7	11 out of 11	383.1769675	-383.1769675	-34.83426977
A_52_P226407	10 out of 11	382.5833638	-382.5833638	-34.7803058
Ear3	9 out of 11	382.2568215	-382.2568215	-34.75062013
4933436C20Rik	10 out of 11	380.5621816	-380.5621816	-34.59656197
Sult1d1	8 out of 11	380.406418	-380.406418	-34.58240164
1110051M20Rik	10 out of 11	380.0181159	-380.0181159	-34.54710144
Mm.381719	8 out of 11	379.8046707	-379.8046707	-34.52769734
Ccdc85a	10 out of 11	379.3444542	-379.3444542	-34.48585947
Reck	10 out of 11	378.6552424	-378.6552424	-34.42320386
5930430L01Rik	10 out of 11	377.6634484	-377.6634484	-34.33304076
Clec4g	10 out of 11	377.5107103	-377.5107103	-34.31915548
Olfml2a	10 out of 11	376.8207272	-376.8207272	-34.25642974
Cat	9 out of 11	375.4032141	-375.4032141	-34.12756492
Cldn8	10 out of 11	373.8900648	-373.8900648	-33.99000589
Txnip	10 out of 11	373.330905	-373.330905	-33.93917318
Calml4	11 out of 11	372.3950395	-372.3950395	-33.8540945
Wnt10b	9 out of 11	371.2486134	-371.2486134	-33.74987394
Plekha6	9 out of 11	371.0443989	-371.0443989	-33.73130899
Gkn3	10 out of 11	370.7107386	-370.7107386	-33.70097623
Gid4	10 out of 11	369.5940934	-369.5940934	-33.59946304
Id4	11 out of 11	369.5886875	-369.5886875	-33.59897159
Prkcz	10 out of 11	368.5426486	-368.5426486	-33.50387715
Adcy8	10 out of 11	368.2934871	-368.2934871	-33.4812261
Klhl24	10 out of 11	368.0234593	-368.0234593	-33.45667811
Npr3	10 out of 11	367.569787	-367.569787	-33.41543518
Tfcp2l1	10 out of 11	366.8413513	-366.8413513	-33.34921376
Prickle1	10 out of 11	365.9456311	-365.9456311	-33.26778465
Irs1	10 out of 11	365.8076764	-365.8076764	-33.25524331
Pcp4l1	10 out of 11	364.9272355	-364.9272355	-33.17520323
Gm17739	10 out of 11	364.8272171	-364.8272171	-33.16611065
Kdr	10 out of 11	364.2940789	-364.2940789	-33.11764354
Tspan2	10 out of 11	363.4562937	-363.4562937	-33.04148124
ENSMUSG00000023461	11 out of 11	363.4230271	-363.4230271	-33.03845701
Chchd10	10 out of 11	361.8250014	-361.8250014	-32.89318195
Plekhd1	9 out of 11	360.7629681	-360.7629681	-32.79663347
Sik1	10 out of 11	360.7373237	-360.7373237	-32.79430215
Zfp641	10 out of 11	360.0438824	-360.0438824	-32.73126204
Adam33	11 out of 11	360.0138357	-360.0138357	-32.72853051
