This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.



The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."				
				
Gene	Specificity	Abs Score Sum	Score Sum	Score Ave
St5	9 out of 11	175.2408315	-175.2408315	-15.93098468
Mmaa	10 out of 11	175.1198246	-175.1198246	-15.91998406
Trpm4	10 out of 11	175.1160724	-175.1160724	-15.91964295
Ccdc146	10 out of 11	175.0938117	-175.0938117	-15.91761924
Tmem42	10 out of 11	175.031197	-175.031197	-15.911927
Gab1	10 out of 11	174.9759467	-174.9759467	-15.90690424
Icam2	8 out of 11	174.9500298	-174.9500298	-15.90454816
Prom2	7 out of 11	174.9153044	-174.9153044	-15.90139131
2610015P09Rik	10 out of 11	174.8847068	-174.8847068	-15.89860971
Ddx26b	10 out of 11	174.7638188	-174.7638188	-15.88761989
D830014E11Rik	9 out of 11	174.7230134	-174.7230134	-15.88391031
Hoxb2	9 out of 11	174.3294956	-174.3294956	-15.84813596
Mm.446457	9 out of 11	174.2199641	-174.2199641	-15.83817856
Grhl1	8 out of 11	173.9101848	-173.9101848	-15.8100168
Asf1a	10 out of 11	173.8762488	-173.8762488	-15.80693171
4833414E09Rik	10 out of 11	173.7527131	-173.7527131	-15.79570119
Zbtb44	8 out of 11	173.7240008	-173.7240008	-15.79309099
Gulp1	9 out of 11	173.7215846	-173.7215846	-15.79287133
D230025D16Rik	9 out of 11	173.6962737	-173.6962737	-15.79057034
Prkg1	9 out of 11	173.5611966	-173.5611966	-15.7782906
Clk1	9 out of 11	173.5549341	-173.5549341	-15.77772128
Purg	9 out of 11	173.5241439	-173.5241439	-15.77492217
Cldn1	7 out of 11	173.4287686	-173.4287686	-15.76625169
Gsta4	8 out of 11	173.3345373	-173.3345373	-15.7576852
Rgs18	9 out of 11	173.2752642	-173.2752642	-15.75229675
B330016D10Rik	10 out of 11	173.272026	-173.272026	-15.75200237
Ddx5	10 out of 11	173.2309947	-173.2309947	-15.74827224
Zfyve27	10 out of 11	173.1524237	-173.1524237	-15.74112943
Osbpl1a	10 out of 11	173.1381508	-173.1381508	-15.73983189
E130120C16Rik	9 out of 11	173.1083745	-173.1083745	-15.73712496
Ankk1	8 out of 11	173.0898511	-173.0898511	-15.73544101
Rhpn2	9 out of 11	173.0069363	-173.0069363	-15.7279033
Plxnb1	8 out of 11	172.9229341	-172.9229341	-15.72026674
Inpp5k	9 out of 11	172.6433406	-172.6433406	-15.69484915
Meox1	8 out of 11	172.6245856	-172.6245856	-15.69314414
Rprml	7 out of 11	172.4180434	-172.4180434	-15.67436758
Gphn	10 out of 11	172.3995956	-172.3995956	-15.67269051
Akap7	10 out of 11	172.3491578	-172.3491578	-15.66810526
9130230L23Rik	9 out of 11	172.3127521	-172.3127521	-15.66479564
Dram1	9 out of 11	172.2212668	-172.2212668	-15.6564788
Acadm	10 out of 11	172.2090158	-172.2090158	-15.65536507
1500026H17Rik	10 out of 11	172.1388329	-172.1388329	-15.64898481
Pipox	8 out of 11	172.1166181	-172.1166181	-15.64696528
Epb4.1l4a	10 out of 11	171.9025056	-171.9025056	-15.62750051
Dvl1	9 out of 11	171.745496	-171.745496	-15.61322691
Pdgfd	9 out of 11	171.7052329	-171.7052329	-15.60956663
Alox12	7 out of 11	171.6948219	-171.6948219	-15.60862017
Hmcn1	9 out of 11	171.6206431	-171.6206431	-15.60187664
Tcn2	8 out of 11	171.6036225	-171.6036225	-15.60032932
4932425I24Rik	9 out of 11	171.5745611	-171.5745611	-15.59768737
Pgpep1l	9 out of 11	171.5686546	-171.5686546	-15.59715042
Itm2b	9 out of 11	171.4539064	-171.4539064	-15.58671876
Dnajb2	9 out of 11	171.4023959	-171.4023959	-15.58203599
Gstt3	10 out of 11	171.2253818	-171.2253818	-15.5659438
Ccdc135	9 out of 11	171.1772083	-171.1772083	-15.56156439
Vamp4	10 out of 11	171.083234	-171.083234	-15.55302127
Ankrd50	9 out of 11	171.0689898	-171.0689898	-15.55172635
Nfat5	10 out of 11	170.9895342	-170.9895342	-15.54450311
Tmem8	9 out of 11	170.9845827	-170.9845827	-15.54405297
Rab3ip	10 out of 11	170.9680645	-170.9680645	-15.54255132
Dnase2a	9 out of 11	170.9397266	-170.9397266	-15.53997514
Sgce	10 out of 11	170.8907803	-170.8907803	-15.53552548
Ppargc1a	9 out of 11	170.5679121	-170.5679121	-15.50617383
Ift81	10 out of 11	170.5292266	-170.5292266	-15.50265696
Eml1	10 out of 11	170.4845102	-170.4845102	-15.49859184
Ptpn14	10 out of 11	170.4814749	-170.4814749	-15.4983159
Rac3	8 out of 11	170.431579	-170.431579	-15.49377991
Amotl2	9 out of 11	170.0812483	-170.0812483	-15.46193166
Fam131a	10 out of 11	170.0320662	-170.0320662	-15.45746056
Enkur	9 out of 11	169.9691117	-169.9691117	-15.45173743
Nisch	10 out of 11	169.9466668	-169.9466668	-15.44969698
Gm6212	9 out of 11	169.7749227	-169.7749227	-15.43408388
Tead1	9 out of 11	169.709689	-169.709689	-15.42815355
9030224M15Rik	8 out of 11	169.4908354	-169.4908354	-15.40825777
Spag17	8 out of 11	169.4466278	-169.4466278	-15.40423889
Mthfd1	9 out of 11	169.2927708	-169.2927708	-15.39025189
2210016H18Rik	10 out of 11	169.1351216	-169.1351216	-15.37592015
Tanc1	10 out of 11	169.0729184	-169.0729184	-15.37026531
Tspan9	9 out of 11	168.8511998	-168.8511998	-15.35010907
Cdc42bpa	9 out of 11	168.6838196	-168.6838196	-15.33489269
Tsc2	10 out of 11	168.6747043	-168.6747043	-15.33406403
Trim2	10 out of 11	168.6231399	-168.6231399	-15.32937635
Acaca	9 out of 11	168.5900346	-168.5900346	-15.32636678
Zfp608	8 out of 11	168.5523495	-168.5523495	-15.32294086
Ubr1	10 out of 11	168.5173748	-168.5173748	-15.31976134
Mm.381185	8 out of 11	168.4275066	-168.4275066	-15.31159151
Ggcx	8 out of 11	168.4047203	-168.4047203	-15.30952002
Ankrd40	10 out of 11	168.3003772	-168.3003772	-15.30003429
Gap43	8 out of 11	168.2184946	-168.2184946	-15.29259042
Gdpd1	10 out of 11	168.213514	-168.213514	-15.29213764
1700007G11Rik	8 out of 11	168.1356639	-168.1356639	-15.28506036
Pnck	9 out of 11	168.0480299	-168.0480299	-15.27709363
Zfp30	9 out of 11	168.0294103	-168.0294103	-15.27540094
Sipa1l2	8 out of 11	167.9503316	-167.9503316	-15.26821197
Klf5	9 out of 11	167.6169635	-167.6169635	-15.23790577
Cd24a	9 out of 11	167.5308337	-167.5308337	-15.23007579
Slc45a4	8 out of 11	167.3990873	-167.3990873	-15.21809885
B230303O12Rik	8 out of 11	167.3387545	-167.3387545	-15.21261405
Dync2h1	10 out of 11	167.3348709	-167.3348709	-15.21226099
Rtn2	9 out of 11	167.1646159	-167.1646159	-15.19678326
Ahcyl2	8 out of 11	167.1478361	-167.1478361	-15.19525783
Zkscan1	9 out of 11	167.1257223	-167.1257223	-15.19324748
A_52_P597002	9 out of 11	167.0772035	-167.0772035	-15.18883668
Sh3pxd2a	10 out of 11	167.0441032	-167.0441032	-15.18582756
Radil	10 out of 11	167.0167115	-167.0167115	-15.18333741
Kif1b	9 out of 11	166.8971513	-166.8971513	-15.1724683
Adamts10	9 out of 11	166.6047413	-166.6047413	-15.14588557
LOC545261	7 out of 11	166.5888929	-166.5888929	-15.14444481
Tgfbr3	8 out of 11	166.5336671	-166.5336671	-15.13942429
Mipol1	10 out of 11	166.5034894	-166.5034894	-15.13668086
Slc25a33	8 out of 11	166.4377945	-166.4377945	-15.13070859
Gabra3	8 out of 11	166.3514597	-166.3514597	-15.12285997
Zfp826	9 out of 11	166.2502004	-166.2502004	-15.11365458
Hes1	7 out of 11	166.2213393	-166.2213393	-15.11103085
Fermt2	10 out of 11	166.1537122	-166.1537122	-15.10488293
C230035I16Rik	8 out of 11	166.0380395	-166.0380395	-15.09436723
Gata6	10 out of 11	166.0180429	-166.0180429	-15.09254936
Epn2	9 out of 11	166.0035236	-166.0035236	-15.09122942
Zfp319	8 out of 11	165.9791883	-165.9791883	-15.08901712
Bhlhe41	7 out of 11	165.8910076	-165.8910076	-15.08100069
Zfp318	7 out of 11	165.8909867	-165.8909867	-15.08099879
A_52_P103319	9 out of 11	165.8364222	-165.8364222	-15.07603838
Vit	7 out of 11	165.7565244	-165.7565244	-15.06877495
Mm.336329	7 out of 11	165.7421159	-165.7421159	-15.06746508
Asap2	10 out of 11	165.4851114	-165.4851114	-15.04410103
Phf1	10 out of 11	165.4263132	-165.4263132	-15.03875575
Evi5	10 out of 11	165.3371899	-165.3371899	-15.03065362
Plch2	10 out of 11	165.2184019	-165.2184019	-15.01985472
Slc48a1	10 out of 11	165.1313329	-165.1313329	-15.01193935
Rbm24	8 out of 11	165.1061351	-165.1061351	-15.00964865
Rbms1	10 out of 11	165.0593341	-165.0593341	-15.005394
Ccdc92	10 out of 11	164.9418903	-164.9418903	-14.9947173
Slc22a5	10 out of 11	164.9167974	-164.9167974	-14.99243613
Phlda2	8 out of 11	164.8857705	-164.8857705	-14.9896155
Nedd4l	10 out of 11	164.7097123	-164.7097123	-14.97361021
Runx1t1	9 out of 11	164.6368822	-164.6368822	-14.96698929
Slc24a4	10 out of 11	164.6309759	-164.6309759	-14.96645236
Snx13	8 out of 11	164.4798144	-164.4798144	-14.9527104
Dohh	9 out of 11	164.2347529	-164.2347529	-14.93043208
1700026L06Rik	8 out of 11	164.0909809	-164.0909809	-14.9173619
Bmf	8 out of 11	163.9344521	-163.9344521	-14.90313201
Rhbdd2	10 out of 11	163.8046991	-163.8046991	-14.89133628
Map4k2	7 out of 11	163.78065	-163.78065	-14.88915
Lrig3	9 out of 11	163.5885873	-163.5885873	-14.87168976
P2ry1	8 out of 11	163.3544715	-163.3544715	-14.8504065
Pde4a	10 out of 11	163.3294437	-163.3294437	-14.84813124
Trim62	9 out of 11	163.2214345	-163.2214345	-14.83831223
Acaa2	9 out of 11	163.1305888	-163.1305888	-14.83005353
Fyco1	10 out of 11	163.027418	-163.027418	-14.82067437
E130012A19Rik	8 out of 11	163.0034703	-163.0034703	-14.8184973
AK030462	10 out of 11	162.9591575	-162.9591575	-14.81446886
Plac9	8 out of 11	162.9366963	-162.9366963	-14.81242694
XM_908122	9 out of 11	162.9203725	-162.9203725	-14.81094295
432607	8 out of 11	162.9159652	-162.9159652	-14.81054229
1700020I14Rik	10 out of 11	162.9028791	-162.9028791	-14.80935265
Yap1	10 out of 11	162.8364901	-162.8364901	-14.80331728
D130043K22Rik	9 out of 11	162.7502563	-162.7502563	-14.79547785
Pcp4	8 out of 11	162.7136011	-162.7136011	-14.79214556
Zdhhc14	9 out of 11	162.6851311	-162.6851311	-14.78955737
Colec10	7 out of 11	162.2907689	-162.2907689	-14.75370627
Itgb1bp2	7 out of 11	162.1695763	-162.1695763	-14.74268875
Cgnl1	10 out of 11	161.9251097	-161.9251097	-14.72046451
Lin52	10 out of 11	161.8808591	-161.8808591	-14.71644174
Ankzf1	10 out of 11	161.8457121	-161.8457121	-14.71324656
Ppil6	8 out of 11	161.7937079	-161.7937079	-14.7085189
Dach1	7 out of 11	161.7851131	-161.7851131	-14.70773756
Card10	7 out of 11	161.7545911	-161.7545911	-14.70496283
Sppl3	9 out of 11	161.7437907	-161.7437907	-14.70398098
AI661453	9 out of 11	161.5886003	-161.5886003	-14.68987276
A430108G06Rik	9 out of 11	161.5032538	-161.5032538	-14.68211398
Rassf6	9 out of 11	161.4632105	-161.4632105	-14.67847368
Stox1	9 out of 11	161.2474094	-161.2474094	-14.6588554
2900056M20Rik	10 out of 11	161.0900974	-161.0900974	-14.64455431
Slco2a1	9 out of 11	161.0321488	-161.0321488	-14.63928625
H2-Ke6	9 out of 11	160.9578151	-160.9578151	-14.63252865
Nol7	10 out of 11	160.910299	-160.910299	-14.628209
Sqrdl	10 out of 11	160.9039327	-160.9039327	-14.62763025
Plekhh2	10 out of 11	160.856688	-160.856688	-14.62333528
Gmpr	10 out of 11	160.7021517	-160.7021517	-14.60928651
Prrc2b	9 out of 11	160.625897	-160.625897	-14.60235427
Hook3	10 out of 11	160.5795407	-160.5795407	-14.59814006
Ascl1	9 out of 11	160.5142482	-160.5142482	-14.59220438
Pcmtd1	10 out of 11	160.5124228	-160.5124228	-14.59203844
Rasgrf1	8 out of 11	160.4943118	-160.4943118	-14.59039198
Ablim2	9 out of 11	160.378628	-160.378628	-14.57987527
Abhd4	10 out of 11	160.3409045	-160.3409045	-14.57644586
Higd1a	10 out of 11	183.9467629	-160.2840605	-14.57127823
Zfp667	9 out of 11	160.2793761	-160.2793761	-14.57085237
9130014G24Rik	9 out of 11	160.2734099	-160.2734099	-14.57030999
Kank2	9 out of 11	160.2442456	-160.2442456	-14.56765869
Izumo4	9 out of 11	160.0724651	-160.0724651	-14.55204228
Bahcc1	9 out of 11	160.0499887	-160.0499887	-14.54999898
Orc3	10 out of 11	160.0497064	-160.0497064	-14.54997331
D930017F01	10 out of 11	160.0334503	-160.0334503	-14.54849548
Mut	10 out of 11	159.9357664	-159.9357664	-14.53961512
Ppp2r3a	9 out of 11	159.7296765	-159.7296765	-14.52087968
Snx33	9 out of 11	159.62278	-159.62278	-14.51116182
4931408A02Rik	10 out of 11	159.5619118	-159.5619118	-14.50562835
Plcxd3	8 out of 11	159.5514673	-159.5514673	-14.50467884
Sh3rf1	10 out of 11	159.5341251	-159.5341251	-14.50310228
Enpp2	8 out of 11	159.5285891	-159.5285891	-14.50259901
Sgsm1	9 out of 11	159.5206137	-159.5206137	-14.50187397
A_52_P390448	9 out of 11	159.4505389	-159.4505389	-14.49550354
Zfp647	9 out of 11	159.4132931	-159.4132931	-14.49211755
1700029J07Rik	9 out of 11	159.2597066	-159.2597066	-14.47815515
Zfp148	9 out of 11	159.2553173	-159.2553173	-14.47775612
Vegfb	10 out of 11	159.2147246	-159.2147246	-14.47406587
Wwc1	9 out of 11	159.2131985	-159.2131985	-14.47392714
Rdh5	9 out of 11	159.1816754	-159.1816754	-14.4710614
Wnt2	8 out of 11	159.0186419	-159.0186419	-14.45624017
Eno4	7 out of 11	158.9567679	-158.9567679	-14.45061527
Tst	9 out of 11	158.8690216	-158.8690216	-14.44263833
Mxi1	9 out of 11	158.803516	-158.803516	-14.43668327
Ptpn13	10 out of 11	158.7674928	-158.7674928	-14.43340843
Rassf7	10 out of 11	158.7445676	-158.7445676	-14.43132433
Cabp2	7 out of 11	158.7406995	-158.7406995	-14.43097268
AI854703	8 out of 11	158.6865329	-158.6865329	-14.42604844
Pbld1	7 out of 11	158.657184	-158.657184	-14.42338036
Adk	10 out of 11	158.4900037	-158.4900037	-14.40818216
2810013P06Rik	9 out of 11	158.3969449	-158.3969449	-14.39972226
Slc19a3	9 out of 11	158.3015249	-158.3015249	-14.39104772
Gorasp1	10 out of 11	158.2919494	-158.2919494	-14.39017722
Mapk8ip3	10 out of 11	158.2884014	-158.2884014	-14.38985467
Slc12a2	10 out of 11	158.2877508	-158.2877508	-14.38979553
ENSMUST00000038450	10 out of 11	158.2692432	-158.2692432	-14.38811301
Tmem117	8 out of 11	158.1977443	-158.1977443	-14.38161312
AK031320	10 out of 11	158.0700159	-158.0700159	-14.37000145
Zranb1	9 out of 11	157.9664162	-157.9664162	-14.36058329
D2Wsu81e	8 out of 11	157.9532165	-157.9532165	-14.35938332
Nrp1	10 out of 11	157.8886291	-157.8886291	-14.35351174
Pid1	10 out of 11	157.8416057	-157.8416057	-14.34923688
Gm9856	8 out of 11	157.8379217	-157.8379217	-14.34890197
Mfge8	10 out of 11	157.7652796	-157.7652796	-14.34229815
Slc9a6	10 out of 11	157.7434077	-157.7434077	-14.34030979
Paqr7	9 out of 11	157.6175203	-157.6175203	-14.32886548
E130102H24Rik	9 out of 11	157.6039304	-157.6039304	-14.32763004
2610001A08Rik	8 out of 11	157.3765354	-157.3765354	-14.30695777
Tmem50b	10 out of 11	157.3609418	-157.3609418	-14.30554016
Fam193b	9 out of 11	157.2245311	-157.2245311	-14.29313919
Lrrc4c	9 out of 11	157.2181924	-157.2181924	-14.29256294
Fgf10	9 out of 11	157.1189207	-157.1189207	-14.28353824
Decr1	10 out of 11	157.0669183	-157.0669183	-14.27881075
AK036030	8 out of 11	157.0592403	-157.0592403	-14.27811275
Klhl21	9 out of 11	156.9700483	-156.9700483	-14.27000439
1700027A23Rik	8 out of 11	156.8649973	-156.8649973	-14.2604543
AI842136	10 out of 11	156.8304703	-156.8304703	-14.25731548
Kcnq1ot1	10 out of 11	156.8099442	-156.8099442	-14.25544947
4930562F07Rik	10 out of 11	156.5607431	-156.5607431	-14.23279482
Myct1	7 out of 11	156.4096946	-156.4096946	-14.21906315
Spry2	9 out of 11	156.3205241	-156.3205241	-14.21095673
Nek11	9 out of 11	156.2312862	-156.2312862	-14.2028442
Sertad2	10 out of 11	156.1054076	-156.1054076	-14.19140069
Camsap2	10 out of 11	155.9882018	-155.9882018	-14.18074562
Tcte1	8 out of 11	155.860589	-155.860589	-14.16914446
A930001N09Rik	9 out of 11	155.8460786	-155.8460786	-14.16782533
5430414B12Rik	9 out of 11	155.7419256	-155.7419256	-14.15835688
Mtus2	7 out of 11	155.7350858	-155.7350858	-14.15773507
Dpyd	8 out of 11	155.7215459	-155.7215459	-14.15650417
Pdzk1ip1	7 out of 11	155.6635245	-155.6635245	-14.1512295
Zfp354b	8 out of 11	155.6480011	-155.6480011	-14.14981828
Eya1	8 out of 11	155.587465	-155.587465	-14.144315
Nek1	10 out of 11	155.5027338	-155.5027338	-14.13661217
4930402H24Rik	10 out of 11	155.4222326	-155.4222326	-14.12929388
Ccdc74a	8 out of 11	155.2832714	-155.2832714	-14.11666104
Ppp1r16b	9 out of 11	155.1707685	-155.1707685	-14.1064335
Rilpl1	10 out of 11	155.1285747	-155.1285747	-14.1025977
Hnmt	8 out of 11	155.0449535	-155.0449535	-14.09499577
Cdk14	10 out of 11	155.0373793	-155.0373793	-14.09430721
Cml3	8 out of 11	154.9772829	-154.9772829	-14.0888439
Hspa4l	10 out of 11	154.9735359	-154.9735359	-14.08850326
Pcca	10 out of 11	154.8673293	-154.8673293	-14.07884812
Stard13	10 out of 11	154.7269339	-154.7269339	-14.0660849
Lrrc71	10 out of 11	154.6862769	-154.6862769	-14.06238881
Cdadc1	10 out of 11	154.6831059	-154.6831059	-14.06210054
Baz2b	10 out of 11	154.675365	-154.675365	-14.06139682
Rnf146	10 out of 11	154.6715942	-154.6715942	-14.06105402
Phldb1	10 out of 11	154.6520861	-154.6520861	-14.05928055
Ift172	10 out of 11	154.6255405	-154.6255405	-14.05686732
BC028528	8 out of 11	154.5597507	-154.5597507	-14.05088643
Slc1a5	9 out of 11	154.4382644	-154.4382644	-14.03984222
ENSMUSG00000070689	9 out of 11	154.4347316	-154.4347316	-14.03952105
Ntrk3	8 out of 11	154.432747	-154.432747	-14.03934064
Rhebl1	8 out of 11	154.4110698	-154.4110698	-14.03736998
Asb11	7 out of 11	154.3646647	-154.3646647	-14.03315134
Mxra7	9 out of 11	154.117744	-154.117744	-14.010704
Usp54	9 out of 11	154.0514109	-154.0514109	-14.00467372
Gcap14	9 out of 11	154.0217638	-154.0217638	-14.00197853
She	9 out of 11	153.8891299	-153.8891299	-13.9899209
AK009443	9 out of 11	153.8729012	-153.8729012	-13.98844556
Egln1	10 out of 11	153.8473952	-153.8473952	-13.98612684
ENSMUSG00000043303	9 out of 11	153.8347691	-153.8347691	-13.98497901
AU021034	7 out of 11	153.7537863	-153.7537863	-13.97761694
Sybu	7 out of 11	153.6522247	-153.6522247	-13.96838407
Emp2	7 out of 11	153.6235562	-153.6235562	-13.96577784
Zfp266	9 out of 11	153.6234627	-153.6234627	-13.96576933
Ivd	10 out of 11	153.5664322	-153.5664322	-13.96058474
A_52_P98160	9 out of 11	153.3517954	-153.3517954	-13.94107231
Ptprk	9 out of 11	153.3207362	-153.3207362	-13.93824875
Cfl2	9 out of 11	153.2905233	-153.2905233	-13.93550212
Dcaf8	10 out of 11	153.1878903	-153.1878903	-13.92617185
Adarb1	8 out of 11	172.3555933	-153.1834098	-13.92576453
Bace1	10 out of 11	153.164099	-153.164099	-13.924009
Cd9	9 out of 11	152.8852487	-152.8852487	-13.89865897
A_52_P302147	9 out of 11	152.8806841	-152.8806841	-13.89824401
Fzd8	9 out of 11	152.8455064	-152.8455064	-13.89504604
C1qtnf7	9 out of 11	152.8388626	-152.8388626	-13.89444205
BC031353	8 out of 11	152.8340286	-152.8340286	-13.8940026
Qser1	10 out of 11	152.8237442	-152.8237442	-13.89306765
Dgkh	8 out of 11	152.6497457	-152.6497457	-13.87724961
Smagp	7 out of 11	152.5888818	-152.5888818	-13.87171653
Mlf1	10 out of 11	152.5532174	-152.5532174	-13.86847431
Ccdc149	9 out of 11	152.424546	-152.424546	-13.85677691
Ccdc176	7 out of 11	152.4140745	-152.4140745	-13.85582496
Cyhr1	10 out of 11	152.1797125	-152.1797125	-13.83451932
Rnf43	8 out of 11	151.8950939	-151.8950939	-13.8086449
Clip1	9 out of 11	151.8093199	-151.8093199	-13.80084726
App	10 out of 11	151.745872	-151.745872	-13.79507927
Glul	8 out of 11	151.6975248	-151.6975248	-13.79068407
Hs3st3b1	7 out of 11	151.6187735	-151.6187735	-13.78352487
D4Wsu53e	8 out of 11	151.604842	-151.604842	-13.78225836
Numb	10 out of 11	151.5240831	-151.5240831	-13.77491664
Sepsecs	10 out of 11	151.4992063	-151.4992063	-13.77265512
Ndst1	10 out of 11	151.2781221	-151.2781221	-13.75255655
Btbd7	10 out of 11	151.2283363	-151.2283363	-13.74803058
Tmem14a	9 out of 11	151.2212999	-151.2212999	-13.7473909
Ccdc78	8 out of 11	151.0856028	-151.0856028	-13.7350548
Vamp5	10 out of 11	151.0403272	-151.0403272	-13.73093884
Rarg	8 out of 11	150.9811254	-150.9811254	-13.72555685
2610203C22Rik	8 out of 11	150.8885358	-150.8885358	-13.71713962
A430035B10Rik	8 out of 11	150.8881995	-150.8881995	-13.71710905
Mertk	9 out of 11	150.8075902	-150.8075902	-13.70978092
Tmem30b	8 out of 11	150.7685346	-150.7685346	-13.70623042
Akap2	9 out of 11	150.7166232	-150.7166232	-13.7015112
A_52_P634607	8 out of 11	150.6472394	-150.6472394	-13.69520358
Efcab10	7 out of 11	150.4959318	-150.4959318	-13.68144834
Fbxl7	10 out of 11	150.4262087	-150.4262087	-13.67510988
A330021E22Rik	9 out of 11	150.3787211	-150.3787211	-13.67079283
Mak	8 out of 11	150.3504442	-150.3504442	-13.6682222
Magi2	8 out of 11	150.2410592	-150.2410592	-13.65827811
Fhit	10 out of 11	150.1153176	-150.1153176	-13.64684705
Eps15	10 out of 11	149.998642	-149.998642	-13.63624018
Pnmt	8 out of 11	149.9830124	-149.9830124	-13.63481931
Rbpms2	7 out of 11	149.9338877	-149.9338877	-13.63035343
Ppp1r13b	7 out of 11	149.9334011	-149.9334011	-13.6303092
Pdlim3	8 out of 11	149.6682157	-149.6682157	-13.60620142
Rbbp9	10 out of 11	149.5472742	-149.5472742	-13.59520675
Ppp1r12b	9 out of 11	149.5226203	-149.5226203	-13.59296548
Lrrk2	8 out of 11	149.4298575	-149.4298575	-13.5845325
Cxx1c	7 out of 11	149.4283384	-149.4283384	-13.5843944
Ddx17	10 out of 11	149.38285	-149.38285	-13.58025909
Spg20	9 out of 11	173.0872246	-149.2357336	-13.56688487
Ttbk2	10 out of 11	149.1887878	-149.1887878	-13.56261708
Ampd1	8 out of 11	149.1041011	-149.1041011	-13.55491828
1190007F08Rik	8 out of 11	149.075251	-149.075251	-13.55229554
Laptm4b	10 out of 11	148.9683834	-148.9683834	-13.54258031
Fgf7	7 out of 11	148.9428618	-148.9428618	-13.54026016
Tfpi	10 out of 11	170.7213113	-148.915531	-13.53777554
A_52_P528312	8 out of 11	148.8683675	-148.8683675	-13.53348795
AI463229	10 out of 11	148.4464982	-148.4464982	-13.4951362
Atp2c1	10 out of 11	148.3837007	-148.3837007	-13.48942734
Zmym6	9 out of 11	148.2181829	-148.2181829	-13.47438026
Tial1	10 out of 11	148.1540563	-148.1540563	-13.46855057
Arhgap21	9 out of 11	148.0519308	-148.0519308	-13.45926644
Cmbl	9 out of 11	147.8795059	-147.8795059	-13.44359144
Csgalnact2	10 out of 11	147.8637085	-147.8637085	-13.44215531
8030488J09Rik	7 out of 11	147.7792243	-147.7792243	-13.43447493
Mm.406760	8 out of 11	147.7767979	-147.7767979	-13.43425435
Fndc1	10 out of 11	147.7611226	-147.7611226	-13.43282933
Gm4013	8 out of 11	147.7466867	-147.7466867	-13.43151697
Stard10	8 out of 11	147.5652196	-147.5652196	-13.41501996
Epm2aip1	10 out of 11	147.5337339	-147.5337339	-13.41215763
Tepp	7 out of 11	147.454671	-147.454671	-13.40497009
Csad	9 out of 11	147.4180567	-147.4180567	-13.40164152
Nkain1	7 out of 11	147.331469	-147.331469	-13.39376991
Nhsl1	9 out of 11	147.1606335	-147.1606335	-13.37823941
Reps2	8 out of 11	147.1567021	-147.1567021	-13.37788201
Ube2b	7 out of 11	146.9112694	-146.9112694	-13.35556994
Uggt2	8 out of 11	146.871956	-146.871956	-13.351996
Mgam	7 out of 11	146.6779471	-146.6779471	-13.33435883
Bmp4	7 out of 11	146.4899408	-146.4899408	-13.31726735
Agpat9	8 out of 11	146.4333073	-146.4333073	-13.31211885
Ppm1b	10 out of 11	146.3280239	-146.3280239	-13.30254763
Cpeb1	8 out of 11	146.3159578	-146.3159578	-13.30145071
A930001A20Rik	7 out of 11	146.2883759	-146.2883759	-13.29894326
Gm671	9 out of 11	146.2825885	-146.2825885	-13.29841714
Mm.381490	8 out of 11	146.2285797	-146.2285797	-13.29350724
Lrriq1	7 out of 11	146.10389	-146.10389	-13.28217181
Igfbp5	7 out of 11	146.1020092	-146.1020092	-13.28200084
Prmt2	8 out of 11	146.0125579	-146.0125579	-13.2738689
Ptprf	9 out of 11	145.976073	-145.976073	-13.27055209
Gstt1	8 out of 11	145.8996012	-145.8996012	-13.26360011
Mm.52682	8 out of 11	145.8700968	-145.8700968	-13.26091789
Cited2	8 out of 11	145.8225129	-145.8225129	-13.25659208
Slc25a29	8 out of 11	145.7275239	-145.7275239	-13.24795672
Aatk	9 out of 11	145.7197667	-145.7197667	-13.24725152
Reep5	10 out of 11	145.6703288	-145.6703288	-13.24275717
Nphp3	8 out of 11	145.5945054	-145.5945054	-13.23586412
Fbxl3	10 out of 11	145.4827088	-145.4827088	-13.2257008
Gm994	9 out of 11	145.4677025	-145.4677025	-13.22433659
Lingo4	7 out of 11	145.3895616	-145.3895616	-13.21723287
A_52_P325755	8 out of 11	145.3578485	-145.3578485	-13.21434986
Trp73	9 out of 11	145.3374025	-145.3374025	-13.21249114
Acox1	9 out of 11	145.3304449	-145.3304449	-13.21185863
Pcdh19	8 out of 11	145.2951726	-145.2951726	-13.20865206
Son	9 out of 11	145.2620992	-145.2620992	-13.20564539
Ddx3x	10 out of 11	145.2271035	-145.2271035	-13.20246395
Maml3	8 out of 11	145.2212408	-145.2212408	-13.20193098
Sirt5	9 out of 11	145.1458724	-145.1458724	-13.19507931
Eny2	10 out of 11	194.5774596	-145.1071386	-13.19155806
