"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day4 post-infection vs control Lung tissue experiments from twelve independent studies (GSE23955, GSE36969, GSE40824, GSE40827, GSE49262, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE64661, GSE68820) and four strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV Urbani, SARS-CoV MA15). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.



The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day4 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."				
				
Gene	Specificity	Abs Score Sum	Score Sum	Score Ave
Syt12	11 out of 15	864.8029501	864.8029501	57.65353001
Top2a	12 out of 15	954.2740966	857.7051899	57.18034599
Ch25h	10 out of 15	855.6538471	855.6538471	57.04358981
Cd72	10 out of 15	855.1096649	855.1096649	57.00731099
Ocstamp	9 out of 15	854.7622469	854.7622469	56.98414979
Sprr1a	9 out of 15	854.3046178	854.3046178	56.95364119
Cenpe	11 out of 15	851.0605316	851.0605316	56.73736878
Cxcl9	9 out of 15	850.912752	850.9127521	56.7275168
Msr1	9 out of 15	849.8008074	849.8008074	56.65338716
Clhc1	12 out of 15	907.20687	849.6266907	56.64177938
Slfn9	11 out of 15	848.8482576	848.8482576	56.58988384
D14Ertd668e	10 out of 15	846.8982594	846.8982594	56.45988396
Rsad2	9 out of 15	846.7265008	846.7265008	56.44843339
H2-Q8	11 out of 15	846.6974502	846.6974502	56.44649668
LOC718338	11 out of 15	893.7007808	844.9240999	56.32827333
Car13	10 out of 15	844.372394	844.372394	56.29149293
Hist1h2ab	11 out of 15	844.3424626	844.3424626	56.28949751
Trem2	10 out of 15	842.1130385	842.1130385	56.14086923
Cyp7b1	10 out of 15	842.0329383	842.0329383	56.13552922
Lcn2	10 out of 15	841.8186524	841.8186524	56.12124349
Mx2	11 out of 15	865.9866355	840.5248218	56.03498812
Sgol1	11 out of 15	840.5022616	840.5022616	56.03348411
Lair1	12 out of 15	861.2303534	838.5129937	55.90086624
EG667984	10 out of 15	837.2637063	837.2637063	55.81758042
Cenpk	11 out of 15	835.1352189	835.1352189	55.67568126
Il1rn	12 out of 15	832.8539972	832.8539972	55.52359981
Ccnb1	12 out of 15	922.4265231	830.1347334	55.34231556
Ncapg	10 out of 15	829.4506483	829.4506483	55.29670989
Ifi27l2a	12 out of 15	849.1181276	828.8578232	55.25718821
Spag5	11 out of 15	828.3866942	828.3866942	55.22577961
Spc24	11 out of 15	824.4129805	824.4129805	54.96086537
Fam54a	12 out of 15	822.4534648	822.4534648	54.83023098
Siglec1	12 out of 15	892.9905595	821.56811	54.77120733
Il1r2	9 out of 15	820.0033995	820.0033995	54.6668933
Slc37a2	10 out of 15	819.9221447	819.9221447	54.66147632
Kif20a	10 out of 15	814.1406092	814.1406092	54.27604061
Fignl1	11 out of 15	813.0772419	813.0772419	54.20514946
Herc6	12 out of 15	845.8220119	810.7094058	54.04729372
Fam64a	12 out of 15	810.2048974	810.2048974	54.01365983
Birc5	14 out of 15	1070.663216	808.9034293	53.92689529
Darc	9 out of 15	808.1500601	808.1500601	53.87667067
Itgam	11 out of 15	806.4172694	806.4172694	53.76115129
Stfa2l1	10 out of 15	806.4151759	806.4151759	53.76101173
Serpina3g	10 out of 15	805.7955686	805.7955686	53.71970457
Ccl2	10 out of 15	985.928519	801.8918589	53.45945726
Mki67	11 out of 15	793.8973542	793.8973542	52.92649028
Stat1	12 out of 15	793.7140569	793.7140569	52.91427046
Serpina3j	10 out of 15	791.2838852	791.2838852	52.75225901
Apol9a	9 out of 15	789.9421948	789.9421948	52.66281299
A_52_P653054	9 out of 15	789.5443119	789.5443119	52.63628746
Igf1	12 out of 15	789.1678663	789.1678663	52.61119109
Nuf2	11 out of 15	811.9034015	786.6123649	52.44082433
Ifit2	11 out of 15	834.5501345	785.3186382	52.35457588
Exo1	10 out of 15	783.1287644	783.1287644	52.20858429
Gins1	12 out of 15	780.0038818	780.0038819	52.00025879
Ccne1	10 out of 15	778.0800601	778.0800601	51.87200401
Mastl	11 out of 15	777.7312182	777.7312182	51.84874788
Isg15	11 out of 15	979.5089161	773.6342123	51.57561416
Ccl4	10 out of 15	794.7751443	772.0577846	51.47051898
Ccl9	11 out of 15	770.6428433	770.6428433	51.37618955
Slfn8	11 out of 15	770.1468873	770.1468873	51.34312582
Slfn1	10 out of 15	769.4045759	769.4045759	51.29363839
Mcm5	11 out of 15	769.2655078	769.2655078	51.28436719
Gdf3	9 out of 15	768.8108429	768.8108428	51.25405619
Cxcl3	10 out of 15	768.5523967	768.5523967	51.23682645
Tnc	11 out of 15	835.0174623	767.5403071	51.16935381
Melk	10 out of 15	766.022917	766.022917	51.06819447
Orm1	11 out of 15	807.8387018	763.8170608	50.92113739
Rtp4	11 out of 15	763.5063023	763.5063023	50.90042015
Spc25	10 out of 15	762.9595485	762.9595485	50.8639699
Ckap2	13 out of 15	948.7556141	761.0568529	50.73712353
Mlkl	10 out of 15	760.8815345	760.8815344	50.72543563
Psat1	12 out of 15	789.4860093	759.8755935	50.6583729
Lrrc25	10 out of 15	757.8600531	757.8600531	50.52400354
LOC709172	12 out of 15	895.7618157	756.9142179	50.46094786
Mt2	9 out of 15	755.2797388	755.2797388	50.35198259
Asf1b	10 out of 15	755.0068726	755.0068726	50.33379151
Aif1	14 out of 15	1099.638454	752.693712	50.1795808
Iigp1	11 out of 15	751.4129217	751.4129217	50.09419478
Apitd1	11 out of 15	751.1161063	751.1161063	50.07440709
Ect2	13 out of 15	942.7188748	749.147349	49.9431566
Emr1	12 out of 15	748.2961732	748.2961732	49.88641155
Trim30d	11 out of 15	747.0406449	747.0406449	49.80270966
Gatm	10 out of 15	746.7023326	746.7023326	49.78015551
Slc39a14	10 out of 15	744.1911604	744.1911604	49.61274403
Aurkb	12 out of 15	821.3007207	743.464511	49.56430073
Clec4a2	10 out of 15	740.3383332	740.3383331	49.35588888
Cxcl11	10 out of 15	902.9248634	740.3073723	49.35382482
Slfn10-ps	10 out of 15	740.0224768	740.0224768	49.33483179
Rgs1	10 out of 15	738.6111586	738.6111586	49.24074391
Cep55	11 out of 15	810.5646728	737.3593025	49.15728683
C1qa	10 out of 15	737.2445783	737.2445783	49.14963855
Stat2	14 out of 15	735.4420751	735.4420751	49.02947167
Mmp8	12 out of 15	840.8577574	734.9062901	48.99375268
Phgr1	9 out of 15	734.6659403	734.6659403	48.97772935
Kif18b	11 out of 15	732.4820691	732.4820691	48.83213794
Cenpf	11 out of 15	762.458978	732.036933	48.8024622
LOC705809	10 out of 15	786.075672	730.7772946	48.71848631
Sectm1b	11 out of 15	729.2645945	729.2645945	48.61763963
