"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 13 Biosets for SARS day1 post-infection vs control Lung tissue experiments from six independent studies (GSE19137, GSE23955 , GSE36969,  GSE49262, GSE49263, GSE50000) and five strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV MA15, SARS-CoV MA15g, SARS-CoV MA15e, SARS-CoV TOR2, SARS-CoV Urbani). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.   "		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day1 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option."		
		
Gene	Specificity	Score Ave
Htra3	6 out of 13	-25.34748722
Mlc1	6 out of 13	-25.33546135
Mmp15	7 out of 13	-25.33510521
Klhl24	9 out of 13	-25.30197026
Rnf186	7 out of 13	-25.30095916
Acss1	8 out of 13	-25.16861159
2210011C24Rik	7 out of 13	-25.1364201
Lrrc17	5 out of 13	-25.13423901
Epdr1	7 out of 13	-25.13083671
Map2k6	7 out of 13	-25.10355836
Pigz	7 out of 13	-25.08722473
AI426330	7 out of 13	-25.05798022
Mm.381719	6 out of 13	-25.02662281
Rap1gap	7 out of 13	-24.99891538
Sgpp2	8 out of 13	-24.97624408
1110058L19Rik	8 out of 13	-24.9506307
Enpep	8 out of 13	-24.93506731
Sec14l4	7 out of 13	-24.90516925
Gpt	8 out of 13	-24.88468523
Rgs3	7 out of 13	-24.79111349
Pgpep1	9 out of 13	-24.76711856
N28178	8 out of 13	-24.73777663
Bcl7a	8 out of 13	-24.72759755
Qpct	8 out of 13	-24.72103977
2700046G09Rik	7 out of 13	-24.71126259
Reep6	8 out of 13	-24.66282694
Adh1	5 out of 13	-24.64811359
Ski	10 out of 13	-24.56031659
Tmem175	10 out of 13	-24.55928808
Tgfbr1	6 out of 13	-24.51170376
Lpcat1	6 out of 13	-24.50395435
Cbx6	9 out of 13	-24.46004587
Cckar	5 out of 13	-24.34141102
Csad	8 out of 13	-24.27444907
Ngef	9 out of 13	-24.23168424
Prps2	9 out of 13	-24.18960914
Abca3	8 out of 13	-24.12034681
Ppa2	9 out of 13	-24.03533789
Pnkd	9 out of 13	-24.01206245
Cyhr1	8 out of 13	-24.00315673
LOC718857	4 out of 13	-23.9729293
Stxbp4	9 out of 13	-23.95039695
Fgf7	6 out of 13	-23.92959081
Gas6	7 out of 13	-23.91810645
Tef	6 out of 13	-23.86603878
Abhd14b	9 out of 13	-23.86603545
FBP1	6 out of 13	-23.85625869
Fam13a	7 out of 13	-23.83585314
Slc16a11	7 out of 13	-23.82262467
Ear6	6 out of 13	-23.77874276
LOC713244	8 out of 13	-23.76453636
